Transcript_ID,Gene_Symbol,SRR1552444,SRR1552445,SRR1552446,SRR1552447,SRR1552448,SRR1552449,SRR1552450,SRR1552451,SRR1552452,SRR1552453,SRR1552454,SRR1552455
ENSMUST00000000080.8,Klf6,0,1,0,0,0,0,1,0,0,0,0,0
ENSMUST00000000090.8,Cox5a,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUST00000000122.7,Ngfr,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUST00000000137.8,Actr2,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUST00000000312.12,Cdh1,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUST00000000384.8,Trappc10,0,0,0,0,0,0,0,0,0,1,0,0
ENSMUST00000000466.13,Plin2,0,0,0,1,0,0,0,0,0,0,0,0
ENSMUST00000000590.16,Rdx,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUST00000000608.8,Gm2a,0,0,0,0,0,0,0,0,0,1,0,0
ENSMUST00000000642.11,Hk2,0,0,0,0,0,0,0,0,0,0,0,1
ENSMUST00000000756.6,Rpl13,0,0,1,0,1,0,2,1,0,1,1,1
ENSMUST00000000804.7,Ddx3x,1,1,1,1,0,0,4,0,3,1,3,0
ENSMUST00000000809.3,Slc5a5,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUST00000000939.15,Hip1r,0,0,0,0,0,0,0,1,0,0,0,0
ENSMUST00000001009.14,Wfdc18,0,0,0,2,0,1,0,0,0,0,0,0
ENSMUST00000001042.10,Ilf2,0,0,0,0,0,0,0,0,1,0,0,0
ENSMUST00000001043.14,Chtop,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUST00000001092.15,Zfp276,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUST00000001147.5,Col6a1,0,0,0,0,0,0,0,1,0,0,2,1
ENSMUST00000001166.14,Cnnm3,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUST00000001204.8,Calm1,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUST00000001304.9,Ckb,0,0,0,0,0,0,0,0,0,1,0,0
ENSMUST00000001319.15,Efnb2,0,0,0,0,0,0,0,0,1,0,0,0
ENSMUST00000001339.6,Rrp15,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUST00000001384.6,Cnn1,0,0,0,0,0,0,0,0,0,2,1,0
ENSMUST00000001460.14,Snd1,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUST00000001479.5,Kpnb1,0,0,0,0,0,0,0,0,0,1,0,0
ENSMUST00000001513.8,Tubb6,0,0,0,0,0,0,0,1,0,0,0,2
