Gene_Symbol,SRR1552444,SRR1552445,SRR1552446,SRR1552447,SRR1552448,SRR1552449,SRR1552450,SRR1552451,SRR1552452,SRR1552453,SRR1552454,SRR1552455
,1,0,0,0,0,0,0,0,0,0,0,0
0610040J01Rik,1,0,0,0,0,0,0,0,0,0,0,0
1600014C10Rik,0,0,0,0,0,0,0,0,0,1,0,0
1700012B07Rik,0,0,0,0,0,1,0,0,0,0,0,0
1810013L24Rik,0,0,0,0,0,0,0,1,0,0,0,0
2010315B03Rik,1,0,0,0,0,0,0,0,0,0,0,0
2410002F23Rik,0,1,0,0,0,0,0,0,0,0,0,0
2610507B11Rik,0,0,0,0,0,0,1,1,0,0,0,1
2700049A03Rik,0,0,1,0,0,0,0,0,0,0,0,0
4932438A13Rik,0,0,0,0,0,0,0,0,0,1,0,0
AI837181,0,0,1,0,0,0,0,0,1,0,0,0
Aamp,0,0,0,0,0,0,0,1,0,0,0,0
Aars,0,0,0,0,0,0,0,1,0,0,0,0
Aars2,0,0,1,0,0,0,0,0,0,0,0,0
Aass,0,0,0,0,1,0,0,0,0,0,0,0
Abca2,0,0,0,0,0,0,0,1,1,0,0,0
Abca3,0,0,0,0,1,0,0,0,0,0,0,0
Abcf1,0,1,1,0,0,0,0,0,0,0,0,0
Abcf2,1,0,0,0,0,0,0,0,1,0,0,0
Abcg2,0,0,0,0,0,0,0,0,0,0,1,0
Abcg5,0,0,0,0,0,0,0,0,0,1,0,0
Abhd12,0,0,0,1,0,0,0,0,0,0,0,0
Abhd13,0,0,1,0,0,0,0,0,0,0,0,0
Abhd17a,1,0,0,0,0,0,0,0,0,0,0,0
Abhd4,0,0,0,0,0,0,0,0,0,0,0,1
Abl2,0,0,0,0,0,0,0,0,0,0,0,1
Abr,0,0,0,0,0,0,0,1,0,0,0,0
Acaa1a,1,0,0,0,0,0,0,0,0,0,0,1
Acacb,0,0,0,0,0,1,0,0,0,0,0,0
Acad11,1,0,0,0,0,0,0,0,0,1,0,0
Acad9,0,0,1,0,0,0,0,0,0,0,0,0
Acadl,0,0,0,0,0,0,0,0,1,0,0,0
Acadvl,1,0,0,0,0,0,0,0,0,0,0,0
Acat1,1,0,0,0,1,0,0,0,0,0,0,0
Acat2,0,0,0,0,0,0,0,0,0,1,0,0
Acbd4,0,0,0,0,0,0,0,2,0,0,0,0
Acd,0,1,0,0,0,0,0,0,0,0,0,0
